ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
Chaotic Mango Studios LLC*|*B20260326326*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261459409*|*Jul 16 2026 11:04AM*|*1345 PARK ST*|*UNIT 120*|*PASO ROBLES*|*CA*|*United States*|*93446*|*1345 PARK ST*|*UNIT 120*|**|*PASO ROBLES*|*CA*|*United States*|*93446*|**|**|**|**|**|**|*All LLC Member(s)*|*Creative Agency
Chaotic Mango Studios LLC*|*B20260324568*|*07/14/2026*|*CALIFORNIA*|*Inactive*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|*2026-07-16 11:03:36.497*|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Chapter 2 Consulting LLC*|*B20260322538*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5205 TENDILLA AVE*|**|*WOODLAND HILLS*|*CA*|*United States*|*91364*|*5205 TENDILLA AVE*|**|**|*WOODLAND HILLS*|*CA*|*United States*|*91364*|**|**|**|**|**|**|*One Manager*|*
Chapter Two Collective LLC*|*B20260328433*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*106 GRAZIE*|**|*IRVINE*|*CA*|*United States*|*92602*|*106 GRAZIE*|**|**|*IRVINE*|*CA*|*United States*|*92602*|**|**|**|**|**|**|*One Manager*|*
Chardikla Foods LLC*|*B20260321999*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261469687*|*Jul 17 2026  6:00PM*|*73777 TWENTYNINE PALMS HWY*|**|*TWENTYNINE PALMS*|*CA*|*United States*|*92277*|*73777 TWENTYNINE PALMS HWY*|**|**|*TWENTYNINE PALMS*|*CA*|*United States*|*92277*|*73777 TWENTYNINE PALMS HWY*|**|*TWENTYNINE PALMS*|*CA*|*United States*|*92277*|*More Than One Manager*|*Mobile Food Truck Business
Charleerowtranspo LLC*|*B20260322436*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261447152*|*Jul 14 2026  3:35PM*|*4523 WEST AVENUE N*|**|*LANCASTER*|*CA*|*United States*|*93536*|*4523 WEST AVENUE N*|**|**|*LANCASTER*|*CA*|*United States*|*93536*|**|**|**|**|**|**|*One Manager*|*wholesale_other
Charlotte Wogan Productions LLC*|*B20260328361*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261466259*|*Jul 17 2026 11:15AM*|*1132 PRINCETON ST APT E*|**|*SANTA MONICA*|*CA*|*United States*|*90403*|*1132 PRINCETON ST APT E*|**|**|*SANTA MONICA*|*CA*|*United States*|*90403*|*1132 PRINCETON ST APT E*|**|*SANTA MONICA*|*CA*|*United States*|*90403*|*All LLC Member(s)*|*Production services for visual effects
Charmed & Co, LLC*|*B20260309716*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10176 LOCH HAVEN DR.*|**|*SANTA ROSA*|*CA*|*United States*|*95404*|*10176 LOCH HAVEN DR.*|**|**|*SANTA ROSA*|*CA*|*United States*|*95404*|**|**|**|**|**|**|*One Manager*|*
Charnock Court LP*|*B20260324773*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Partnership - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1730 SAWTELLE BLVD*|*PH 14*|*LOS ANGELES*|*CA*|*United States*|*90025*|*1730 SAWTELLE BLVD*|*PH 14*|**|*LOS ANGELES*|*CA*|*United States*|*90025*|**|**|**|**|**|**|**|*
Chartlynk LLC*|*B20260323058*|*07/14/2026*|*CALIFORNIA*|*Terminated*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|*2026-07-16 11:17:20.847*|**|*Jan  1 1900 12:00AM*|*19938 ALDEA CT*|**|*YORBA LINDA*|*CA*|*United States*|*92886*|*19938 ALDEA CT*|**|**|*YORBA LINDA*|*CA*|*United States*|*92886*|**|**|**|**|**|**|*All LLC Member(s)*|*
Chary Construction*|*B20260326204*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261461767*|*Jul 16 2026  2:58PM*|*10126 MCCLEMONT AVE*|**|*TUJUNGA*|*CA*|*United States*|*91042*|*10126 MCCLEMONT AVE*|**|**|*TUJUNGA*|*CA*|*United States*|*91042*|**|**|**|**|**|**|**|*GENERAL BUILDING
Chase Heindel Ink LLC*|*B20260324085*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261453128*|*Jul 15 2026 12:40PM*|*22052 COSALA*|**|*MISSION VIEJO*|*CA*|*United States*|*92691*|*22052 COSALA*|**|**|*MISSION VIEJO*|*CA*|*United States*|*92691*|*22052 COSALA*|**|*MISSION VIEJO*|*CA*|*United States*|*92691*|*All LLC Member(s)*|*I am a tattoo artist renting out of a studio
CHASINGBULKTCG LLC*|*B20260325147*|*07/15/2026*|*MASSACHUSETTS*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*705 W ROSEBURG AVE*|**|*MODESTO*|*CA*|*United States*|*95350*|*705 W ROSEBURG AVE*|**|**|*MODESTO*|*CA*|*United States*|*95350*|*705 W ROSEBURG AVE*|**|*MODESTO*|*CA*|*United States*|*95350*|**|*
Chatelet Dialysis, LLC*|*B20260325104*|*07/15/2026*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2000 16TH STREET*|**|*DENVER*|*CO*|*United States*|*80202*|*601 HAWAII STREET*|**|**|*EL SEGUNDO*|*CA*|*United States*|*90245*|*601 HAWAII STREET*|**|*EL SEGUNDO*|*CA*|*United States*|*90245*|**|*
Chatori Chaat LLC*|*B20260323624*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1000 KIELY BLVD*|**|*SANTA CLARA*|*CA*|*United States*|*95051*|*1000 KIELY BLVD*|**|**|*SANTA CLARA*|*CA*|*United States*|*95051*|**|**|**|**|**|**|*All LLC Member(s)*|*
CHAWLA XPRESS INC*|*B20260327866*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*626 LINCOLN BLVD*|*304*|*SANTA MONICA*|*CA*|*United States*|*90404*|*626 LINCOLN BLVD*|*304*|**|*SANTA MONICA*|*CA*|*United States*|*90404*|**|**|**|**|**|**|**|*
Cheap Hauling LLC*|*B20260322137*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261446599*|*Jul 14 2026  2:51PM*|*645 REDONDO AVE APT 106*|**|*LONG BEACH*|*CA*|*United States*|*90814*|*645 REDONDO AVE APT 106*|**|**|*LONG BEACH*|*CA*|*United States*|*90814*|*645 REDONDO AVE APT 106*|**|*LONG BEACH*|*CA*|*United States*|*90814*|*All LLC Member(s)*|*Transportation, hauling, and moving.
CheckCallCare,LLC*|*B20260325293*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7605 CONCORD AVENUE*|**|*FONTANA*|*CA*|*United States*|*92336*|*7605 CONCORD AVENUE*|**|**|*FONTANA*|*CA*|*United States*|*92336*|**|**|**|**|**|**|*One Manager*|*
Cheddule LLC*|*B20260320723*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261446282*|*Jul 14 2026  2:26PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*The purpose of this business is to provide an open house scheduling SaaS
CheechandTCG LLC*|*B20260320780*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261453969*|*Jul 15 2026  1:59PM*|*12951 BENSON AVE*|*UNIT #118*|*CHINO*|*CA*|*United States*|*91710*|*12951 BENSON AVE*|*UNIT #118*|**|*CHINO*|*CA*|*United States*|*91710*|*12951 BENSON AVE*|*UNIT # 118*|*CHINO*|*CA*|*United States*|*91710*|*All LLC Member(s)*|*E-commerce
ChefMe, Inc.*|*B20260326938*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7808 CARANO WAY*|**|*WINDSOR*|*CA*|*United States*|*95492*|*7808 CARANO WAY*|**|**|*WINDSOR*|*CA*|*United States*|*95492*|**|**|**|**|**|**|**|*
CHEKO ROOFING INC*|*B20260323027*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*629 S. ROWAN AVE.*|**|*LOS ANGELES*|*CA*|*United States*|*90023*|*629 S. ROWAN AVE.*|**|**|*LOS ANGELES*|*CA*|*United States*|*90023*|**|**|**|**|**|**|**|*
Chemventory LLC*|*B20260324109*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*528 N STOCKTON ST*|**|*STOCKTON*|*CA*|*United States*|*95203*|*528 N STOCKTON ST*|**|**|*STOCKTON*|*CA*|*United States*|*95203*|**|**|**|**|**|**|*All LLC Member(s)*|*
CHERISH HAIR EXTENSIONS, LLC*|*B20260325500*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3917 NORMAL ST*|**|*SAN DIEGO*|*CA*|*United States*|*92103*|*3917 NORMAL ST*|**|**|*SAN DIEGO*|*CA*|*United States*|*92103*|**|**|**|**|**|**|*One Manager*|*
Chesed Rain Enterprises LLC*|*B20260321060*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1309 COFFEEN AVENUE STE 1200*|**|*SHERIDAN*|*WY*|*United States*|*82801*|*1309 COFFEEN AVENUE STE 1200*|**|**|*SHERIDAN*|*WY*|*United States*|*82801*|**|**|**|**|**|**|*One Manager*|*
CHETCO RIVER OAK LLC*|*B20260323369*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*784 ALBERS RD*|**|*MODESTO*|*CA*|*United States*|*95357*|*784 ALBERS RD*|**|**|*MODESTO*|*CA*|*United States*|*95357*|**|**|**|**|**|**|*All LLC Member(s)*|*
CHEWY PROPERTIES, LLC*|*B20260324452*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1625 THE ALAMEDA SUITE 900*|**|*SAN JOSE*|*CA*|*United States*|*95126*|*1625 THE ALAMEDA SUITE 900*|**|**|*SAN JOSE*|*CA*|*United States*|*95126*|**|**|**|**|**|**|*One Manager*|*
Chico Restoration Project*|*B20260327337*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
CHIITAN USA LLC*|*B20260321406*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261449628*|*Jul 15 2026  4:56AM*|*25651 PASEO LA CRESTA*|*25651 PASEO LA CRESTA*|*LAGUNA NIGUEL*|*CA*|*United States*|*92677*|*25651 PASEO LA CRESTA*|**|**|*LAGUNA NIGUEL*|*CA*|*United States*|*92677*|*25651 PASEO LA CRESTA*|**|*LAGUNA NIGUEL*|*CA*|*United States*|*92677*|*All LLC Member(s)*|*Character licensing, merchandising, marketing, live appearances, and ent
CHILD CARE SPECIALIST LLC*|*B20260327120*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261468260*|*Jul 17 2026  2:36PM*|*1913 WHAEATON AVE*|**|*CLAREMONT*|*CA*|*United States*|*91711*|*1913 WHAEATON AVE*|**|**|*CLAREMONT*|*CA*|*United States*|*91711*|**|**|**|**|**|**|*One Manager*|*CHILD CARE PROVIDER
CHILDREN'S HOSPITAL CORPORATION*|*B20260328281*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Mutual Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9850 GENESEE AVE*|*704*|*LA JOLLA*|*CA*|*United States*|*92037*|*9850 GENESEE AVE*|*900*|**|*LA JOLLA*|*CA*|*United States*|*92037*|**|**|**|**|**|**|**|*
Childs Creative Group LLC*|*B20260328249*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1601 E 15TH ST APT H*|**|*NEWPORT BEACH*|*CA*|*United States*|*92663*|*1601 E 15TH ST APT H*|**|**|*NEWPORT BEACH*|*CA*|*United States*|*92663*|**|**|**|**|**|**|*All LLC Member(s)*|*
Chilly Willy, Inc.*|*B20260323483*|*07/14/2026*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|*BA20261453853*|*Jul 15 2026  1:47PM*|*2251 LAS PALMAS DRIVE*|**|*CARLSBAD*|*CA*|*United States*|*92011*|*2251 LAS PALMAS DRIVE*|**|**|*CARLSBAD*|*CA*|*United States*|*92011*|*2251 LAS PALMAS DRIVE*|**|*CARLSBAD*|*CA*|*United States*|*92011*|**|*Consumer packaged food manufacturing
Chipper Bot, Inc.*|*B20260322955*|*07/14/2026*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|*BA20261460527*|*Jul 16 2026 12:40PM*|*6371 MARGUERITE DR*|**|*NEWARK*|*CA*|*United States*|*94560*|*2302 E 8TH ST*|**|**|*TUCSON*|*AZ*|*United States*|*85719*|*6371 MARGUERITE DR*|**|*NEWARK*|*CA*|*United States*|*94560*|**|*Software for laboratory instrument monitoring, analytics, and automation
Chippy Auto Locksmith Inc*|*B20260328042*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261466864*|*Jul 17 2026 12:14PM*|*1608 KIT CARSON WAY*|*B*|*ROSEVILLE*|*CA*|*United States*|*95661*|*1608 KIT CARSON WAY*|*B*|**|*ROSEVILLE*|*CA*|*United States*|*95661*|**|**|**|**|**|**|**|*Auto Locksmith
CHLORIS FLOWERS LLC*|*B20260323293*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3392 LAKEVIEW DR*|**|*SPRING VALLEY*|*CA*|*United States*|*91977*|*3392 LAKEVIEW DR*|**|**|*SPRING VALLEY*|*CA*|*United States*|*91977*|**|**|**|**|**|**|*More Than One Manager*|*
Chmbtyan Consulting LLC*|*B20260322595*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261447734*|*Jul 14 2026  4:31PM*|*2384 E WASHINGTON BLVD*|**|*PASADENA*|*CA*|*United States*|*91104*|*2384 E WASHINGTON BLVD*|**|**|*PASADENA*|*CA*|*United States*|*91104*|*2384 E WASHINGTON BLVD*|**|*PASADENA*|*CA*|*United States*|*91104*|*One Manager*|*Management Consulting
Chmbtyan Management LLC*|*B20260322570*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2384 E WASHINGTON BLVD*|**|*PASADENA*|*CA*|*United States*|*91104*|*2384 E WASHINGTON BLVD*|**|**|*PASADENA*|*CA*|*United States*|*91104*|**|**|**|**|**|**|*One Manager*|*
Chosen to Care, LLC*|*B20260329113*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Chow Group LLC*|*B20260325804*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261463724*|*Jul 16 2026  8:43PM*|*2872 DORSET LN*|**|*TRACY*|*CA*|*United States*|*95377*|*2872 DORSET LN*|**|**|*TRACY*|*CA*|*United States*|*95377*|**|**|**|**|**|**|*One Manager*|*Real Estate
CHRAELI, LLC*|*B20260325964*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*38544 LILACVIEW AVENUE*|**|*PALMDALE*|*CA*|*United States*|*93550*|*38544 LILACVIEW AVENUE*|**|**|*PALMDALE*|*CA*|*United States*|*93550*|**|**|**|**|**|**|*One Manager*|*
CHRIS AI SERVICE LLC*|*B20260324173*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*15241 UPTON AVE*|**|*SAN LEANDRO*|*CA*|*United States*|*94578*|*15241 UPTON AVE*|**|**|*SAN LEANDRO*|*CA*|*United States*|*94578*|**|**|**|**|**|**|*All LLC Member(s)*|*
Christian Cole Realty LLC*|*B20260322949*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261463253*|*Jul 16 2026  5:51PM*|*1126 N HOLMAR AVE*|**|*AZUSA*|*CA*|*United States*|*91702*|*1126 N HOLMAR AVE*|**|**|*AZUSA*|*CA*|*United States*|*91702*|**|**|**|**|**|**|*All LLC Member(s)*|*Real Estate
Christian Digital Consulting LLC*|*B20260324006*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261455409*|*Jul 15 2026  4:04PM*|*5668 FREESTONE DR*|**|*MARYSVILLE*|*CA*|*United States*|*95901*|*5668 FREESTONE DR*|**|**|*MARYSVILLE*|*CA*|*United States*|*95901*|**|**|**|**|**|**|*More Than One Manager*|*We help local businesses with their websites and advertisement
Christina Maehr Educational Services, LLC*|*B20260324064*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3869 MAMMOTH CAVE COURT*|**|*PLEASANTON*|*CA*|*United States*|*94588*|*3869 MAMMOTH CAVE COURT*|**|**|*PLEASANTON*|*CA*|*United States*|*94588*|**|**|**|**|**|**|*One Manager*|*
CHRISTINA TOROPKINA HOME REMODEL LLC*|*B20260321887*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*17534 BALTAR ST*|**|*NORTHRIDGE*|*CA*|*United States*|*91325*|*17534 BALTAR ST*|**|**|*NORTHRIDGE*|*CA*|*United States*|*91325*|**|**|**|**|**|**|*One Manager*|*
Christine Noelle Travel LLC*|*B20260326190*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261459840*|*Jul 16 2026 11:41AM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*Travel Agency
CHRISTMAN COMPANY INC.*|*B20260325526*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1056 S CHURCH AVE*|*B*|*REEDLEY*|*CA*|*United States*|*93654*|*1056 S CHURCH AVE*|*B*|**|*REEDLEY*|*CA*|*United States*|*93654*|**|**|**|**|**|**|**|*
Christmas in Springville*|*B20260327542*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*34699 LA PALOMA DR*|**|*SPRINGVILLE*|*CA*|*United States*|*93265*|*34699 LA PALOMA DR*|**|**|*SPRINGVILLE*|*CA*|*United States*|*93265*|**|**|**|**|**|**|**|*
Christo Shalom  LLC*|*B20260328552*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261466902*|*Jul 17 2026 12:12PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*Any business purpose.
Christopher D. Chan, DDS, PC*|*B20260327353*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261465749*|*Jul 17 2026 10:30AM*|*1895 ORANGE TREE LN*|*SUITE 203*|*REDLANDS*|*CA*|*United States*|*92374*|*1895 ORANGE TREE LN*|*SUITE 203*|**|*REDLANDS*|*CA*|*United States*|*92374*|*1895 ORANGE TREE LN*|*SUITE 203*|*REDLANDS*|*CA*|*United States*|*92374*|**|*Dentistry
CHRISTY'S DONUT LLC*|*B20260322053*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*657 JAMACHA RD*|**|*EL CAJON*|*CA*|*United States*|*92019*|*657 JAMACHA RD*|**|**|*EL CAJON*|*CA*|*United States*|*92019*|**|**|**|**|**|**|*One Manager*|*
Chrome Cowboy LLC*|*B20260326034*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*23131 WELBY WAY*|**|*WEST HILLS*|*CA*|*United States*|*91307*|*23131 WELBY WAY*|**|**|*WEST HILLS*|*CA*|*United States*|*91307*|**|**|**|**|**|**|*One Manager*|*
ChromoTint Inc*|*B20260325009*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*688 GARRETT ST*|**|*BRAWLEY*|*CA*|*United States*|*92227*|*688 GARRETT ST*|**|**|*BRAWLEY*|*CA*|*United States*|*92227*|**|**|**|**|**|**|**|*
CHUM SKRAW LLC*|*B20260326661*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261464186*|*Jul 17 2026  1:48AM*|*12313 HAWKINS ST,*|**|*SANTA FE SPRINGS*|*CA*|*United States*|*90670*|*12313 HAWKINS ST,*|**|**|*SANTA FE SPRINGS*|*CA*|*United States*|*90670*|**|**|**|**|**|**|*One Manager*|*Any legal purpose
Chung & Lee LLC*|*B20260325971*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261466780*|*Jul 17 2026 12:01PM*|*1570 S. WESTERN AVE*|*#201*|*LOS ANGELES*|*CA*|*United States*|*90006*|*1570 S. WESTERN AVE*|*#201*|**|*LOS ANGELES*|*CA*|*United States*|*90006*|*1570 S WESTERN AVE*|*# 201*|*LOS ANGELES*|*CA*|*United States*|*90006*|*More Than One Manager*|*Dental Office
Chyna Le LLC*|*B20260325159*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*18281 GOTHARD STREET*|*106*|*HUNTINGTON BEACH*|*CA*|*United States*|*92648*|*18281 GOTHARD STREET*|*103*|**|*HUNTINGTON BEACH*|*CA*|*United States*|*92648*|**|**|**|**|**|**|*One Manager*|*
